,hour,impressions,totalClicks,CTR
0,2014-10-21 00:00:00,119006,20792,0.17471387997243837
1,2014-10-21 01:00:00,137442,23873,0.17369508592715474
2,2014-10-21 02:00:00,207471,31265,0.15069575988933392
3,2014-10-21 03:00:00,193355,32830,0.1697913164903933
4,2014-10-21 04:00:00,264711,40026,0.1512064100094065
5,2014-10-21 05:00:00,273500,40709,0.14884460694698354
6,2014-10-21 06:00:00,239720,38657,0.16125896879692975
7,2014-10-21 07:00:00,209311,35531,0.1697521869371414
8,2014-10-21 08:00:00,207244,35220,0.16994460635772327
9,2014-10-21 09:00:00,230917,37802,0.16370384164006982
10,2014-10-21 10:00:00,200028,35694,0.17844501769752236
11,2014-10-21 11:00:00,175666,35476,0.20195143055571368
12,2014-10-21 12:00:00,143620,28775,0.20035510374599638
13,2014-10-21 13:00:00,190481,35425,0.18597655409200917
14,2014-10-21 14:00:00,174531,35168,0.20150002005374404
15,2014-10-21 15:00:00,176156,34080,0.1934648833988056
16,2014-10-21 16:00:00,171869,33469,0.19473552531288366
17,2014-10-21 17:00:00,171933,32557,0.18935864551889398
18,2014-10-21 18:00:00,152365,27470,0.1802907491878056
19,2014-10-21 19:00:00,119775,20201,0.16865790022959717
20,2014-10-21 20:00:00,112017,18195,0.1624307024826589
21,2014-10-21 21:00:00,89501,15205,0.16988636998469292
22,2014-10-21 22:00:00,88436,15883,0.17959880591614275
23,2014-10-21 23:00:00,73940,13915,0.18819312956451176
24,2014-10-22 00:00:00,78006,14334,0.18375509576186447
25,2014-10-22 01:00:00,100611,19198,0.19081412569202175
26,2014-10-22 02:00:00,102844,19847,0.19298160320485394
27,2014-10-22 03:00:00,137006,25464,0.18586047326394464
28,2014-10-22 04:00:00,200948,34377,0.17107410872464518
29,2014-10-22 05:00:00,286697,41921,0.14622057433457622
30,2014-10-22 06:00:00,288819,46227,0.16005525952239985
31,2014-10-22 07:00:00,212323,39586,0.18644235433749523
32,2014-10-22 08:00:00,322803,46487,0.1440104336081139
33,2014-10-22 09:00:00,447783,62410,0.1393755457442556
34,2014-10-22 10:00:00,438270,61188,0.13961256759531795
35,2014-10-22 11:00:00,386757,52218,0.13501500942452238
36,2014-10-22 12:00:00,408650,56117,0.13732289245075247
37,2014-10-22 13:00:00,323480,43191,0.13351984666749103
38,2014-10-22 14:00:00,185611,34625,0.18654605599883628
39,2014-10-22 15:00:00,185381,34560,0.18642687222530896
40,2014-10-22 16:00:00,184316,32268,0.17506890340502182
41,2014-10-22 17:00:00,196912,34966,0.17757170715852766
42,2014-10-22 18:00:00,205756,34708,0.16868523882657127
43,2014-10-22 19:00:00,173603,27798,0.1601239609914575
44,2014-10-22 20:00:00,144375,22676,0.15706320346320346
45,2014-10-22 21:00:00,123826,20425,0.16494920291376608
46,2014-10-22 22:00:00,109372,18322,0.1675200234063563
47,2014-10-22 23:00:00,92977,15907,0.17108532217645225
48,2014-10-23 00:00:00,89341,16954,0.1897672960902609
49,2014-10-23 01:00:00,102258,19761,0.19324649416182596
50,2014-10-23 02:00:00,147980,30643,0.20707528044330314
51,2014-10-23 03:00:00,175094,32719,0.1868653409026009
52,2014-10-23 04:00:00,273173,47056,0.1722571410790964
53,2014-10-23 05:00:00,234524,39814,0.16976514130749945
54,2014-10-23 06:00:00,138628,24792,0.1788383299189197
55,2014-10-23 07:00:00,160004,30315,0.189464013399665
56,2014-10-23 08:00:00,232430,38330,0.16490986533580002
57,2014-10-23 09:00:00,185193,35158,0.1898451885330439
58,2014-10-23 10:00:00,162806,33612,0.2064543075808017
59,2014-10-23 11:00:00,161494,32980,0.20421811336644086
60,2014-10-23 12:00:00,152413,32150,0.2109400116787938
61,2014-10-23 13:00:00,162221,31945,0.19692271654101504
62,2014-10-23 14:00:00,173837,33164,0.19077641698832815
63,2014-10-23 15:00:00,246297,41449,0.16828869210749622
64,2014-10-23 16:00:00,178192,33141,0.18598478046152464
65,2014-10-23 17:00:00,158332,30402,0.19201424854104035
66,2014-10-23 18:00:00,157759,28757,0.18228437046380871
67,2014-10-23 19:00:00,132883,22387,0.16847151253358217
68,2014-10-23 20:00:00,133045,20065,0.15081363448457288
69,2014-10-23 21:00:00,116964,17159,0.14670325912246504
70,2014-10-23 22:00:00,105652,16754,0.15857721576496422
71,2014-10-23 23:00:00,90232,15704,0.17404025179537194
72,2014-10-24 00:00:00,82137,14753,0.17961454642852795
73,2014-10-24 01:00:00,94622,17633,0.1863520111601953
74,2014-10-24 02:00:00,125003,25082,0.2006511843715751
75,2014-10-24 03:00:00,123845,22477,0.1814929952763535
76,2014-10-24 04:00:00,161530,27397,0.1696093604903114
77,2014-10-24 05:00:00,168185,28788,0.17116865356601363
78,2014-10-24 06:00:00,169842,29692,0.17482130450654138
79,2014-10-24 07:00:00,181603,32468,0.17878559274901845
80,2014-10-24 08:00:00,173242,31470,0.18165340968125512
81,2014-10-24 09:00:00,167755,29049,0.1731632440165718
82,2014-10-24 10:00:00,146693,25579,0.17437096521306403
83,2014-10-24 11:00:00,135783,24938,0.18366069390129838
84,2014-10-24 12:00:00,188407,34624,0.1837723651456687
85,2014-10-24 13:00:00,189058,35374,0.1871066022067302
86,2014-10-24 14:00:00,217145,40267,0.18543830159570793
87,2014-10-24 15:00:00,206683,38698,0.1872335896034023
88,2014-10-24 16:00:00,252154,41191,0.16335652022176925
89,2014-10-24 17:00:00,262579,41455,0.15787629627654914
90,2014-10-24 18:00:00,170884,25959,0.1519100676482292
91,2014-10-24 19:00:00,34163,4083,0.11951526505283494
92,2014-10-24 20:00:00,23124,3183,0.1376491956408926
93,2014-10-24 21:00:00,20367,2669,0.13104531840722738
94,2014-10-24 22:00:00,14876,2273,0.15279645065877925
95,2014-10-24 23:00:00,25622,3628,0.1415970650222465
96,2014-10-25 00:00:00,73446,13558,0.18459820820739045
97,2014-10-25 01:00:00,80637,15120,0.18750697570594144
98,2014-10-25 02:00:00,38400,4443,0.115703125
99,2014-10-25 03:00:00,67443,9524,0.14121554497872277
100,2014-10-25 04:00:00,76816,14149,0.1841933972089148
101,2014-10-25 05:00:00,117207,21421,0.18276212171627976
102,2014-10-25 06:00:00,51726,8401,0.16241348644782122
103,2014-10-25 07:00:00,136398,28116,0.20613205472221
104,2014-10-25 08:00:00,149460,27796,0.18597618091797136
105,2014-10-25 09:00:00,180060,31437,0.17459180273242253
106,2014-10-25 10:00:00,182311,31783,0.17433396778033142
107,2014-10-25 11:00:00,195507,35256,0.1803311390384999
108,2014-10-25 12:00:00,205914,38454,0.18674786561379994
